codigo,nombre,curso,cuatrimestre,creditos,af1,af2,af3,af4,af5,af6
524101001,MATEMÁTICAS I,1,1C,6,50,0,0,6,4,6
524101002,FÍSICA I,1,1C,6,44,12,0,0,4,4
524101003,EXPRESIÓN GRÁFICA,1,1C,6,40,0,0,15,5,5
524101004,EXPRESIÓN ARTÍSTICA,1,1C,4.5,10,8,15,4,8,4
524101005,ESTÉTICA E HISTORIA DEL DISEÑO,1,1C,4.5,42,0,0,0,3,3
524101006,METODOLOGÍAS BIM EN CONSTRUCCIÓN,1,1C,3,10,0,0,18,2,2
524101007,MATEMÁTICAS II,1,2C,6,50,0,0,6,4,6
524101008,FÍSICA II,1,2C,6,44,12,0,0,4,4
524101009,ESTADÍSTICA APLICADA,1,2C,6,42,0,0,12,6,5
524101010,INGLÉS TÉCNICO,1,2C,4.5,27,15,0,0,3,3
524101011,METODOLOGÍA DEL DISEÑO Y CREATIVIDAD,1,2C,4.5,42,0,0,0,3,3
524101012,METODOLOGIAS BIM EN INSTALACIONES,1,2C,3,10,0,0,18,2,2
524102001,QUÍMICA GENERAL,2,1C,6,44,12,0,0,4,4
524102002,MATEMÁTICAS III,2,1C,6,48,0,0,6,6,6
524102003,DISEÑO INDUSTRIAL I,2,1C,4.5,27,15,0,0,3,3
524102004,RESISTENCIA DE MATERIALES,2,1C,4.5,29,6,0,6,4,4
524102005,INGENIERÍA DE LOS SISTEMAS DE PRODUCCIÓN,2,1C,4.5,27,15,0,0,3,3
524102006,TERMODINÁMICA APLICADA,2,1C,4.5,36,0,0,3,6,3
524102007,ORGANIZACIÓN Y GESTIÓN DE EMPRESAS,2,2C,6,54,0,0,0,6,6
524102008,CIENCIA E INGENIERÍA DE LOS MATERIALES,2,2C,6,41,12,0,3,3,3
524102009,DISEÑO INDUSTRIAL II,2,2C,4.5,27,15,0,0,3,3
524102010,TECNOLOGÍA ELÉCTRICA,2,2C,6,40,6,0,6,8,3
524102011,REGULACIÓN AUTOMÁTICA,2,2C,4.5,23,15,0,4,3,3
524102012,TALLER DE DISEÑO I,2,2C,3,28,0,0,0,2,2
524103001,INFORMÁTICA APLICADA,3,1C,6,40,0,0,17,3,2
524103002,MECÁNICA DE MÁQUINAS,3,1C,6,47,8,0,0,5,5
524103003,TECNOLOGÍA MEDIOAMBIENTAL,3,1C,4.5,28,10,0,2,5,3
524103004,MERCADO INNOVACIÓN Y PROTECCIÓN DEL DISEÑO,3,1C,4.5,32,0,0,6,7,7
524103005,FUNDAMENTOS DEL MEF EN DISEÑO INDUSTRIAL,3,1C,6,40,0,0,20,0,10
524103006,DIGITALIZACIÓN Y MODELIZACIÓN DE PRODUCTOS,3,1C,3,10,18,0,0,2,5
524103007,TRANSMISIÓN DEL CALOR,3,2C,4.5,32,7,0,0,5,4
524103008,MECÁNICA DE FLUIDOS,3,2C,4.5,34,6,0,0,5,6
524103009,DISEÑO ASISTIDO POR ORDENADOR,3,2C,4.5,14,28,0,0,3,3
524103010,DISEÑO MECÁNICO DEL PRODUCTO,3,2C,6,44,0,0,10,6,4
524103011,DISEÑO ERGONÓMICO Y FIABILIDAD DEL PRODUCTO,3,2C,6,40,4,0,12,4,4
524103012,FABRICACIÓN ADITIVA,3,2C,4.5,28,15,0,0,2,4
524104001,PROYECTOS DE INGENIERÍA,4,1C,6,26,30,0,0,4,4
524104002,FUNDAMENTOS DE ELECTRÓNICA INDUSTRIAL,4,1C,4.5,32,10,0,0,3,3
524104003,INGENIERÍA DE LA CALIDAD,4,1C,3,16,4,0,10,0,2
524104004,SISTEMAS AVANZADOS DE FABRICACIÓN,4,1C,4.5,5,4,0,32,4,4
524104005,MATERIALES AVANZADOS,4,1C,6,45,4,0,8,3,0
524104006,FABRICACIÓN DE PROTOTIPOS I,4,1C,3,10,18,0,0,2,5
524104007,ENVASES Y EMBALAJES,4,1C,3,20,6,0,0,4,15
524104008,FABRICACIÓN DE PROTOTIPOS II,4,2C,3,10,18,0,0,2,5
524104009,REALIDAD VIRTUAL,1,4,2,3,10,0,0,20,0
524104010,TALLER DE DISEÑO II,4,2C,3,27,0,0,0,3,3
524104011,DISEÑO GRÁFICO Y COMUNICACIÓN,4,2C,3,9,0,0,18,3,3
